               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.052109,             0.03196,           0.0042487,             0.78197,             0.57027,             0.68814,             0.33159,            0.049388,            0.026454,           0.0038472,            0.005347,            0.005347,            0.005347
                  49,            0.050909,               0.031,           0.0045556,             0.83008,             0.57268,             0.69777,             0.32632,            0.049203,             0.02669,           0.0038415,            0.005248,            0.005248,            0.005248
                  50,            0.051611,            0.032315,           0.0041974,             0.79565,             0.55149,             0.66329,             0.31051,            0.049753,            0.027238,           0.0036177,            0.005149,            0.005149,            0.005149
                  51,            0.050222,            0.030863,           0.0042204,             0.71432,             0.60659,               0.721,             0.32278,            0.049015,            0.027127,           0.0035312,             0.00505,             0.00505,             0.00505
                  52,            0.050781,            0.032299,           0.0039295,             0.73056,             0.65838,             0.70704,             0.34238,            0.048679,             0.02716,            0.003457,            0.004951,            0.004951,            0.004951
                  53,            0.050406,            0.031328,           0.0043348,             0.74613,             0.63833,             0.72909,             0.34475,            0.048397,             0.02745,           0.0035031,            0.004852,            0.004852,            0.004852
                  54,            0.049265,            0.030808,           0.0040816,             0.66315,             0.68348,             0.75202,             0.37781,            0.047582,            0.026855,            0.003289,            0.004753,            0.004753,            0.004753
                  55,            0.049942,            0.031739,            0.004269,             0.65935,              0.6284,             0.74463,             0.36689,            0.048236,            0.026848,           0.0034238,            0.004654,            0.004654,            0.004654
                  56,            0.049096,            0.031021,           0.0039252,             0.78254,             0.71831,             0.78725,             0.37982,            0.047655,            0.026496,           0.0034638,            0.004555,            0.004555,            0.004555
                  57,            0.048697,            0.028351,           0.0043046,             0.74324,             0.71991,             0.77746,             0.41552,            0.047449,            0.026473,           0.0033304,            0.004456,            0.004456,            0.004456
                  58,            0.049573,            0.031563,           0.0038264,             0.73099,             0.72671,             0.77921,             0.41745,             0.04698,             0.02629,            0.003395,            0.004357,            0.004357,            0.004357
                  59,            0.048423,             0.03042,           0.0040485,             0.75685,             0.67561,              0.7775,              0.3908,            0.047537,            0.026026,           0.0033127,            0.004258,            0.004258,            0.004258
                  60,             0.04868,            0.030063,           0.0038032,             0.79887,             0.70078,             0.79597,             0.40047,            0.046166,            0.026117,           0.0033209,            0.004159,            0.004159,            0.004159
                  61,            0.048767,            0.031024,           0.0036493,             0.77795,             0.63506,             0.76889,             0.40959,            0.047153,             0.02646,           0.0033432,             0.00406,             0.00406,             0.00406
                  62,            0.048729,            0.028814,            0.004337,             0.66386,             0.70166,             0.76974,             0.41961,             0.04708,            0.026618,           0.0034027,            0.003961,            0.003961,            0.003961
                  63,            0.046979,            0.029744,           0.0036628,             0.81557,             0.60378,             0.76121,             0.42959,            0.045504,            0.025876,           0.0031246,            0.003862,            0.003862,            0.003862
                  64,            0.047233,            0.029599,           0.0038108,              0.6144,             0.84577,             0.78835,             0.44153,            0.045501,            0.025999,           0.0030068,            0.003763,            0.003763,            0.003763
                  65,            0.047169,            0.029116,           0.0035863,             0.76387,             0.71048,             0.80195,             0.42733,            0.045646,            0.025987,           0.0031047,            0.003664,            0.003664,            0.003664
                  66,            0.047229,            0.029762,            0.003574,             0.81341,             0.71662,             0.80036,             0.44698,            0.045098,            0.025668,           0.0029753,            0.003565,            0.003565,            0.003565
                  67,            0.046713,            0.029256,           0.0039531,             0.74699,             0.73717,             0.78146,              0.4284,            0.044772,            0.025225,           0.0028448,            0.003466,            0.003466,            0.003466
                  68,            0.045819,            0.027814,             0.00382,             0.71666,             0.77045,             0.80078,             0.41905,             0.04536,            0.025171,           0.0027924,            0.003367,            0.003367,            0.003367
                  69,            0.045903,            0.028352,           0.0036174,             0.75786,             0.78094,             0.82358,             0.41586,            0.046645,            0.025754,           0.0028619,            0.003268,            0.003268,            0.003268
                  70,            0.045887,            0.028897,           0.0032187,             0.74467,             0.76047,             0.80921,             0.43671,            0.045651,            0.025828,           0.0028576,            0.003169,            0.003169,            0.003169
                  71,            0.046431,             0.02869,           0.0036612,              0.7272,             0.76181,             0.81704,             0.44569,            0.044927,            0.025652,           0.0028713,             0.00307,             0.00307,             0.00307
                  72,            0.045358,             0.02863,           0.0034328,              0.7462,             0.80519,             0.81273,             0.44687,            0.044243,            0.025695,           0.0028823,            0.002971,            0.002971,            0.002971
                  73,            0.044854,            0.027722,           0.0037395,             0.72819,             0.77826,             0.79849,             0.41051,            0.045144,            0.026009,           0.0028772,            0.002872,            0.002872,            0.002872
                  74,            0.045194,            0.027873,           0.0037938,             0.75765,             0.77953,             0.82293,             0.45917,            0.044471,            0.025541,           0.0029379,            0.002773,            0.002773,            0.002773
                  75,            0.045292,            0.028754,           0.0034611,              0.7299,             0.78542,              0.8129,             0.46455,            0.043883,            0.025217,           0.0028638,            0.002674,            0.002674,            0.002674
                  76,            0.045163,            0.027802,           0.0033059,              0.7834,             0.76621,             0.83018,             0.46384,            0.043548,             0.02512,           0.0028196,            0.002575,            0.002575,            0.002575
                  77,            0.044849,            0.028367,           0.0032532,             0.80348,              0.7798,             0.85311,             0.48678,            0.043342,            0.024804,           0.0027152,            0.002476,            0.002476,            0.002476
                  78,            0.044136,            0.026707,            0.003207,             0.73355,             0.77535,             0.81195,             0.46844,            0.043605,            0.025145,           0.0030574,            0.002377,            0.002377,            0.002377
                  79,            0.045483,            0.028699,           0.0033954,             0.80066,             0.78775,             0.84435,             0.45457,            0.043786,            0.025023,            0.002958,            0.002278,            0.002278,            0.002278
                  80,            0.044259,            0.027091,           0.0033273,             0.76311,             0.79745,             0.84146,              0.4523,            0.043258,             0.02474,           0.0025724,            0.002179,            0.002179,            0.002179
